"item-title","r-itemid","pickup","quality","textbox","textbox 2","textbox 3","textbox 4","textbox 5","textbox 10","textbox 11","textbox 12","r-unlock"
"Mega Mush","ItemID: 625","""I'm a big boy now!""","Quality: 4","When used, this item causes Isaac to become humongous for 30 seconds","While huge, Isaac is invincible and can crush objects, doors and enemies","For the duration of the effect this gives you a x4 Damage Multiplier and +2.0 Range Up, but your rate of fire goes way down","Deals significant contact damage to enemies while active (1600 dps).","Counts as 1 of 3 mushroom items needed towards the Fun Guy transformation.","Type: Active","Recharge Time: 12 rooms","Item Pool: Item Room","Unlock this item by getting all hard mode completion marks for the 17 non-tainted characters"
"Knife Piece 1","ItemID: 626","""???""","Quality: 0","Combine with Knife Piece 2 to create a Knife which can be fired across the room, dealing 25 damage to any enemies it comes into contact with","In the Downpour/Dross II, you will find a white flame somewhere, and a room with a mirror in it. Touching the white flame temporarily turns you into The Lost, but allows you to walk through the mirror into a mirrored version of this floor. You have the Holy Mantle effect to prevent one hit per room, but taking another hit will kill you. The Knife Piece 1 is located in the Item Room in the mirrored area. Returning back through the mirror door returns you back to normal again","If you haven't unlocked Holy Mantle for The Lost yet, you won't gain the effect after touching a white fire so be careful!","The mirrored floor rooms have respawned enemies, and allows you to optionally fight the Boss a second time for an extra item","When combined with Knife Piece 2, can be used to stab the fleshy door in the Mausoleum II, which then leads to the Corpse floor and the Mother boss","Type: Passive","Item Pool: None (see above)","",""
"Knife Piece 2","ItemID: 627","""???""","Quality: 0","Combine with Knife Piece 1 to create a Knife which can be fired across the room, dealing 25 damage to any enemies it comes into contact with","In the Mines/Ashpit II, there's a room with a minecart and a broken track. Pressing 3 yellow buttons on the floor causes the minecart to be rideable. Following the path takes you to an abandoned mineshaft, which leads you to a pedestal with the Knife Piece. Taking it will cause Mom's Shadow to spawn and chase you. You must make it back through the path solving a few bomb puzzles while avoiding her, to get back to the regular floor. All your items and consumables are temporarily removed while in the abandoned mine","The room to access Knife Piece 2 only appears if you have Knife Piece 1 already","You can skip pressing the 3 yellow buttons if you have the ability to fly and have 2 bombs to force open the door","When combined with Knife Piece 1, can be used to stab the fleshy door in the Mausoleum II, which then leads to the Corpse floor and the Mother boss","Type: Passive","Item Pool: None (see above)","",""
"Death Certificate","ItemID: 628","""Where am I?""","Quality: 4","This is a one time use item that teleports you to an alternate floor, which contains every single item in the game","The items are spread between several different rooms all on pedestals. You may take only one of the items, before being teleported back to where you were","It's literally every item, that includes items not in item pools like Knife Pieces","","","Type: Active","Recharge Time: 1 time use","Item Pool: Secret Room","Unlock this item by completing every post-it note for every character, including the Tainted characters"
"Bot Fly","ItemID: 629","""Defense drone""","Quality: 3","Gives you a robot fly familar that orbits around Isaac and fires shielded tears at incoming projectiles","Deals contact damage to enemies it touches","Counts as 1 of 3 fly items needed towards the Beelzebub transformation","","","Type: Passive, Familiar","Item Pool: Item Room, Key Beggar, Crane Game","",""
"Meat Cleaver","ItemID: 631","""Slice but no dice""","Quality: 1","When used, the Meat Cleaver will split all enemies in the room into 2 smaller versions with ~40% health each","For enemies that have multiple parts to them (e.g. Larry Jr.) it will split them into 2 smaller enemies with half the number of sections they used to have","If the enemy normally has a mechanic that splits it (e.g. Teratoma, Envy) then Meat Cleaver will deal a lot of damage and trigger the splitting effect","If the split enemy has low enough health, it will just die instead of splitting","Doesn't work on end-game bosses except Delirium, where it will deal a chunk of damage and spawn a 2nd Delirium to deal with","Type: Active","Recharge Time: 2 rooms","Item Pool: Item Room","Unlock this item by defeating Mother in the Corpse II as Isaac"
"Evil Charm","ItemID: 632","""Luck up + you feel protected""","Quality: 2","+2 Luck Up","You no longer take damage from poison/toxic gas/burn effects, and become immune to fear/confusion","","","","Type: Passive","Item Pool: Secret Room","",""
"Dogma","ItemID: 633","""Ascended""","Quality: 3","This item isn't available in any item pools - you are automatically given it after defeating Dogma, just before The Beast sequence","+0.1 Speed Up","+2.0 Damage Up","Grants you the ability to fly","Grants a one-time use of the Holy Mantle effect","Type: Passive","Item Pool: None","",""
"Purgatory","ItemID: 634","""Help from beyond""","Quality: 2","While in a room with enemies, red cracks will appear on the floor in random locations","Walking over the crack spawns a white soul familiar, that launches itself into the nearest enemy, exploding and dealing double your tear damage to everything near it","Cracks will keep appearing but only one can exist in the room at a time","","","Type: Passive","Item Pool: Devil Room, Angel Room","","Unlock this item by defeating challenge #38 (Baptism by Fire)"
"Stitches","ItemID: 635","""Bait and switch""","Quality: 1","While held, this item spawns a familiar that can be moved around using the arrow keys and deals 1.5 damage per tick to any enemies it touches","When activated, you teleport, swapping places with wherever Stitches was positioned","Teleporting next to fires will extinguish them (including blue fires) and on top of shopkeepers will destroy them (gives +10% devil/angel room chance as normal)","If used while stitches is on top of an enemy, it can be used to telefrag enemies, dealing x3.5 your damage + 40","Can be used to enter/exit Curse Rooms for free by teleporting infront of the door while holding the direction key to move in immediately. Also works for opening Spiked Chests and Mimic Chests without taking damage","Type: Active, Familiar","Recharge Time: 3 seconds","Item Pool: Item Room",""
"R Key","ItemID: 636","""Time to start over""","Quality: 4","When used, this item restarts the game and places you back on the first floor with all your currently collected items, similar to doing a Victory Lap","The game timer does not reset","Allows angel rooms to be found in the new run if a devil deal was taken in the first run","In Greed Mode and while playing as Tainted Keeper, this item costs 99 coins instead of 15","When used in the backwards path after picking up Dad's Note, R key will skip you to the Basement 1 version of this path, which leads directly to the Home floor. This may cause you to skip floors where you left a trinket to spawn a Cracked Key.","Type: Active","Recharge Time: Single use","Item Pool: Secret Room",""
"Knockout Drops","ItemID: 637","""They pack a punch!""","Quality: 3","Isaac now has a chance to fire a fist instead of normal tears, which have a much higher knockback effect and confuse enemies for a few seconds","Enemies that are knocked back will take 10 damage and knock back any enemy they are knocked into, dealing damage to them as well","","","","Type: Passive","Item Pool: Item Room","",""
"Eraser","ItemID: 638","""Erase thy enemy""","Quality: 2","An active item that allows you to throw an eraser at any enemy, which will kill it and prevent it from appearing for the rest of the run","Enemies that are erased create a puff of smoke instead of spawning","Works on bosses, except it doesn't kill them it just deals 15 damage","Can only be used once per floor - batteries also cannot be used to recharge it to bypass this restriction","The first use will raise it above your head, then by pressing the fire button it will be thrown in that direction","Type: Active","Recharge Time: 1 room (Can only be used once per floor)","Item Pool: Shop, Crane Game",""
"Yuck Heart","ItemID: 639","""Gross!""","Quality: 1","When used, this item will give you +1 Rotten Heart","Rotten Hearts act as red hearts and each one you currently have spawns 2 blue flies upon successfully clearing a room","","","","Type: Active","Recharge Time: 4 rooms","Item Pool: Item Room, Rotten Beggar","Unlock this item by defeating Mother in the Corpse II as Maggy"
"Urn of Souls","ItemID: 640","""Unleash their sorrow""","Quality: 3","Enemies now create a soul upon death, which is automatically sucked into the Urn giving it +1 charge. Mini-bosses and bosses create 2-3 souls","When activated, the urn can be fired as a high damage flamethrower in any direction","A charge is consumed roughly every 0.5 seconds of use","Multi-part enemies such as Envy or Teratoma create a soul per each part killed","A maximum of 20 souls can be held in the urn at one time","Type: Active","Recharge Time: None (see above)","Item Pool: Angel Room","Unlock this item by beating Satan as Bethany"
"Akeldama","ItemID: 641","""Spill your guts""","Quality: 2","With each shot fired, another bloody tear will spawn behind Isaac","Spawning multiple tears will form a trail of tears that follow Isaac as he moves, bursting and dealing damage upon contact with enemies","The effect from this item will only work while in a hostile room that contains at least 1 enemy","","","Type: Passive","Item Pool: Item Room","","Unlock this item by defeating Mother in the Corpse II as Judas"
"Magic Skin","ItemID: 642","""All your desires fulfilled""","Quality: 2","Upon use, this item consumes 1 heart container or 2 soul hearts and spawns one item pedestal from the current room's pool","Every use gives a broken heart, meaning that slot is permanently broken and the maximum health limit is reduced by 1 for the rest of the run","If Isaac has 12 broken hearts, he dies instantly (this also applies to The Lost despite having no health)","Magic Skin will continue to appear after finding it once if you are not still holding it - the chance for it to replace an item is 1 ÷ (12 - number of times used) up to a maximum of 50%","Broken hearts are empty heart containers that cannot be removed or refilled and will override other types of hearts when you reach 12 total. Replacing all 12 containers with broken hearts will kill you instantly. The only way to remove broken hearts is by donating to a Confessional Machine","Type: Active","Recharge Time: 6 rooms","Item Pool: Shop, Red Chest, Curse Room","Unlock this item by defeating Mother in the Corpse II as Jacob & Esau"
"Revelation","ItemID: 643","""Awaken your faith""","Quality: 4","+2 Soul Hearts","Grants you the ability to fly","Holding the fire button charges up a light beam attack similar to Brimstone","The light beam deals damage equal to your current tear damage per tick to any enemies touching it","Counts as 1 of 3 angel items needed towards the Seraphim transformation.","Type: Passive","Item Pool: Angel Room","","Unlock this item by defeating Mother in the Corpse II as Bethany"
"Consolation Prize","ItemID: 644","""+1 to lowest stat""","Quality: 1","When picked up, this item gives you a stat increase, based on which is currently the lowest. Stat options are: +1.0 Damage, +0.6 Tears, +0.2 Speed, +5.25 Range","Also drops either a bomb, a key or 3 coins on the ground. This is decided by whatever you have the least of. Keys and bombs are equal to 3 coins for deciding which to give","","","","Type: Passive","Item Pool: Boss Room, Golden Chest, Crane Game","",""
"Tinytoma","ItemID: 645","""Itching for revenge""","Quality: 1","Grants a large orbital that rotates around Isaac","When the orbital takes a few hits, they split into two smaller ones","After the smaller orbitals take another hit, they explode into 2 blue spiders","This item will respawn after a period of time","","Type: Passive, Familiar","Item Pool: Item Room","","Unlock this item by defeating Mother in the Corpse II as Lazarus"
"Brimstone Bombs","ItemID: 646","""Demon blast +5 bombs""","Quality: 2","+5 Bombs","Your bombs now explode and fire 4 Brimstone lasers in all cardinal directions","Each brimstone laser deals 8 damage per tick for 13 total hits","","","Type: Passive","Item Pool: Devil Room, Bomb Beggar, Greed Mode Devil Room","","Unlock this item by killing Hornfel before he can escape after breaking his minecart"
"4.5 Volt","ItemID: 647","""Beat the juice out of them!""","Quality: 2","Active items no longer charge up as normal from clearing rooms","Enemies taking damage now charges your item instead. This includes damage you deal, and environmental damage they take e.g. from Fireplaces","60 damage dealt = 1 charge","","","Type: Passive","Item Pool: Shop, Battery Beggar","",""
"Fruity Plum","ItemID: 649","""Bouncy friend""","Quality: 1","Gives you a familiar which is a smaller version of the Plum boss, which sprays tears and propels itself around the room","Deals 2 contact damage per tick to enemies, and the tears deal 3 damage each","Deals contact damage to any enemies it runs into","Counts as 1 of 3 fly items needed towards the Beelzebub transformation.","","Type: Passive, Familiar","Item Pool: Item Room, Key Beggar","","Unlock this item by beating Baby Plum 10 times"
"Plum Flute","ItemID: 650","""Play time!""","Quality: 1","When used, this item calls a friendly version of the Plum boss to fight for you for 10 seconds","It will jump to the nearest enemy, slam on the ground and fire tears around it, then propel itself around the room, dealing contact damage to any enemies it touches before disappearing","It's possible to get a guaranteed spawn of this item by encountering the Baby Plum boss and not damaging her. After a minute or so of not hurting her she will fly away and spawn Plum Flute","Counts as 1 of 3 fly items needed towards the Beelzebub transformation.","","Type: Active","Recharge Time: 4 rooms","Item Pool: Item Room","Unlock this item by allowing Baby Plum to escape instead of killing her"
"Star of Bethlehem","ItemID: 651","""Follow the light""","Quality: 3","Spawns a star with a white aura around it, that floats very slowly through each room on the floor, making its way towards the boss room","While standing inside the aura, you gain a big Tears Up (x2.5 fire rate), Damage Up (damage * 1.2 + 1) and homing tears","The star continues to make its way through the floor, even if you aren't in the same room as it, moving faster if you are a long distance ahead of it","On The Void floor, it will move towards the boss room containing Delirium","Doesn't travel into the Hush or Mega Satan boss room","Type: Passive, Familiar","Item Pool: Angel Room","","Unlock this item by defeating Delirium as Bethany"
"Cube Baby","ItemID: 652","""Kick it!""","Quality: 1","Gives you a baby in an ice cube, which can be kicked around the room by walking into it","Enemies take damage from Cube Baby depending on how fast it was travelling when it hit them. Having a higher movement speed allows you to kick it harder","Enemies hit by the cube while moving have a high chance to become frozen. Frozen enemies never unfreeze and are considered dead by the game. Kicking a frozen enemy will push it into the wall, where it shatters and fires ice shards everywhere (these can then freeze other enemies)","Enemies touching the cube while it's not moving or moving slowly will become slowed for a few seconds, and take a small amount of damage","Cube Baby and enemies frozen will block enemy shots","Type: Passive, Familiar","Item Pool: Item Room","",""
"Vade Retro","ItemID: 653","""Begone!""","Quality: 2","Enemies that die now spawn a red ghost, that floats in place of where the enemy died","Activating the item causes all red ghosts in the room to explode, dealing damage to any enemies near them","The explosion doesn't deal damage to Isaac","Damage dealt by each ghost is 3 + 0.04x the HP of the enemy it spawned from","Larger enemies such as minibosses will spawn a larger red ghost that causes 3 explosions","Type: Active","Recharge Time: Instant","Item Pool: Angel Room","Unlock this item by defeating Greedier mode as Bethany"
"False PHD","ItemID: 654","""Worse pills + evil up""","Quality: 2","Identified all pills on pickup, and converts them to their worse counterparts (e.g. Stat Up becomes Stat Down)","Any 'Stat down' pills you take give you a permanent +0.6 Damage Up (Horse pills +1.2)","Most other pills spawn a black heart when used, including R U A Wizard?, Amnesia, Bad Trip, ???, Paralysis, Retro Vision, I'm Excited","+1 Black Heart when picked up","","Type: Passive","Item Pool: Devil Room","",""
"Spin to Win","ItemID: 655","""Let it rip!""","Quality: 1","While held, gives you an orbital that blocks enemy shots and deals contact damage equal to 3.5 per tick","While the active key is held down, Isaac gains +0.5 Speed and all of your orbitals spin faster and deal more damage","Orbital damage is equal to 1.5 x OrbitalDamage + 6 while this effect is active","","","Type: Active & Passive, Familiar","Item Pool: Item Room","",""
"Vasculitis","ItemID: 657","""Clogged enemies""","Quality: 1","On death enemies now fire tears in random directions, which can damage other enemies","The amount of tears created by this effect depends on the total health of the enemy killed. Smaller enemies spawn 2-3 tears, and bosses spawn a maximum of 16","Tears from this effect maintain tear modifiers and status effects that Isaac currently has","Isaac doesn't take damage from the tears created by this item","","Type: Passive","Item Pool: Item Room","",""
"Giant Cell","ItemID: 658","""Micro friends""","Quality: 1","Every time you take damage, a tiny Isaac familiar will spawn, which follows you and shoots tears at nearby enemies that deal 1.3 Damage","The mini-Isaacs stay with you between floors, but can die if they take too much damage","Maximum number of mini-Isaacs is 16 at one time","Mini-Isaac's keep some of the abilities and appearance that Isaac has - e.g. the ability to fly. As Azazel they fire brimstone and as The Forgotten they use a bone club","","Type: Passive","Item Pool: Item Room, Greed Mode Item Room","",""
"Tropicamide","ItemID: 659","""Tear size + range up""","Quality: 1","+1.5 Range Up","Tear Size Up","","","","Type: Passive","Item Pool: Boss Room","",""
"Card Reading","ItemID: 660","""A link to your future""","Quality: 3","At the beginning of all future floors, two portals will appear, that can take you to either the Boss room (Red portal), Item room (Yellow portal) or Secret room (Blue portal)","After Chapter 3 (The Depths floors) only one portal will spawn","Portals disappear if you leave the starting room","Counts as 1 of 3 astrology items needed in the same run to unlock Planetariums","","Type: Passive","Item Pool: Shop","",""
"Quints","ItemID: 661","""They lurk inside""","Quality: 2","Every time an enemy dies, a random familiar spawns where it was killed for the rest of the room","The familiar cannot move, but continues to do its usual abilities","Possible familiars include: Abel, Boiled Baby, Brother Bobby, Sister Maggy, Little Steven, Demon Baby, Multidimensional Baby, Freezer Baby, Rotten Baby, Harlequin Baby, Ghost Baby, Guardian Angel, Lil Brimstone, Robo-Baby and Seraphim","Counts as 1 of 3 familiar items needed towards the Conjoined transformation.","","Type: Passive","Item Pool: Item Room, Greed Mode Item Room","",""
"Tooth and Nail","ItemID: 663","""You feel prickly""","Quality: 2","Every 5 seconds you become spiky for a second, becoming immune and dealing 40 contact damage to any enemies that touch you","The effect is indicated by 4 white flashes, where the item activates on the 4th flash","If timed well, can be used to enter curse rooms and open spiky chests without taking damage. You still take damage however when using Blood Donation machines and Devil Beggars","","","Type: Passive","Item Pool: Item Room","",""
"Binge Eater","ItemID: 664","""All you can eat""","Quality: 4","Causes all pedestal items to show up as rotating items, that swap every 1 second between the original spawned item and a HP up item. This allows you to choose between the item that originally spawned and a HP upgrade every time","This effect applies to most items, including those in the shop and devil room. Doesn't apply to progress items like The Polaroid","When you pick up an item that increases your maximum HP, you gain 2 permanent stat increases, and a temporary damage boost that slowly goes down over time. Starts at +3.6 damage and goes to 0 after 30 seconds","While this temporary damage boost is active, each enemy you kill increases your damage slightly, allowing you to quickly kill multiple enemies and chain the effect for longer","This item also gives a -0.03 Speed Down for every food item held","Type: Passive","Item Pool: Secret Room","",""
"Guppy's Eye","ItemID: 665","""An eye for secrets""","Quality: 2","Shows you to see the contents of chests, sacks, shopkeepers and items that will drop from fires before you destroy them","Doesn't work on tinted rocks and other obstacles (e.g. poop, pots)","Counts as 1 of 3 cat items needed towards the Guppy transformation","","","Type: Passive","Item Pool: Devil Room, Curse Room, Red Chest","","Unlock this item by defeating Mother in the Corpse II as Cain"
"Strawman","ItemID: 667","""A helping hand""","Quality: 2","Spawns a Keeper familiar, that shoots triple tears and follows your exact movements as you walk","The keeper has 3 health coins and can die if it takes enough damage. He can pick up coins to restore health","Similar to other familiars of this kind, you can hold the drop key to cause him to stand still","If he dies, his corpse turns into a few blue spiders. He won't respawn even if you move to a new floor","Will always match your current movement speed","Type: Passive, Familiar","Item Pool: Secret Room","","Unlock this item by defeating The Beast as Tainted Keeper"
"Dad's Note","ItemID: 668","""...""","Quality: 0","Only found in the Mausoleum/Gehenna II boss room","The item itself has no effect, but triggers the ascent through the backwards path towards the Home floor","Once you've beaten Mother once, a door will appear at the starting room in Depths II, which leads to the Mausoleum/Gehenna floors. The door can only be opened if you have The Polaroid, The Negative or Faded Polaroid (the item/trinket is taken away when it opens). This means you need a way to teleport out of the Mom's Foot boss fight. If you didn't find one before this point, there will be a tinted Skull somewhere on Depths II, which contains a Fool card when blown up.","Cannot be rerolled by 4-pip dice rooms and Spindown Dice","","Type: Passive","Item Pool: None (see above)","",""
"Sausage","ItemID: 669","""All stats up""","Quality: 3","+1 HP","+0.2 Speed Up","+0.5 Tears Up","+0.5 Damage Up","+1.5 Range Up","Type: Passive","Item Pool: Secret Room","",""
"Options?","ItemID: 670","""There might be options""","Quality: 2","Clearing a room will spawn an extra reward, however only one can be picked up - the other one will disappear","","","","","Type: Passive","Item Pool: Shop","","Unlock this item by defeating the The Beast as Isaac"
"Candy Heart","ItemID: 671","""Power of love""","Quality: 1","Every half red heart you pick up gives a small but permanent stat increase","Randomly picks between +0.10 Damage Up, +0.05 Tears Up, +0.15 Range Up, +0.02 Speed Up, +0.1 Luck Up, +0.02 Shot Speed Up per half red heart","Spawns 1 Red Heart when picked up","","","Type: Passive","Item Pool: Item Room","","Unlock this item by defeating The Beast as Magdalene"
"A Pound of Flesh","ItemID: 672","""Blood money""","Quality: 1","This item causes Devil deals to cost money instead of hearts, and shop items to cost hearts instead of money","Shop items cost heart containers, and pickups have spikes around them","The Devil deal conversion rate is 1 heart container to 15 coins","Devil deal items can be on discount similar to the shop, making it 1 heart container = 7 coins instead","","Type: Passive","Item Pool: Devil Room, Demon Beggar","","Unlock this item by defeating The Beast as Cain"
"Redemption","ItemID: 673","""Deliver me from evil""","Quality: 2","Every time you enter a devil room and choose not to take an item, you get +1 Damage Up upon entering the next floor","The effect is shown via a cross above Isaac's head. Taking a Devil deal breaks the cross and prevents the damage up next floor","Taking free pickups such as Black hearts in the Devil room also count","","","Type: Passive","Item Pool: None","","Unlock this item by defeating The Beast as Judas"
"Spirit Shackles","ItemID: 674","""Unfinished business""","Quality: 2","When you die, you turn into a ghost with 1/2 a red heart and flying, that is chained to your body for 10 seconds. This allows you to stay alive as long as you don't get hit during this 10 second period","After this effect occurs, it cannot activate again until Isaac gains a half or full Soul Heart or a Black Heart. Soul Hearts that are used to charge Spirit Shackles will not be added to your health as normal","","","","Type: Passive","Item Pool: Secret Room","","Unlock this item by defeating The Beast as The Forgotten"
"Cracked Orb","ItemID: 675","""Shards of knowledge""","Quality: 1","Taking damage reveals a random room on the minimap, and automatically opens certain doors in the current room. Possible doors include any needing a key to open (Item Room, Shop, Alt Path doors), secret rooms and crawl spaces","Cracked Orb can also reveal the location of the red room that contains a pedestal item. The Red Key item is required to access it, but it shows the direction to get there","","","","Type: Passive","Item Pool: Item Room, Secret Room","","Unlock this item by defeating The Beast as Eve"
"Empty Heart","ItemID: 676","""It multiplies""","Quality: 1","Upon entering each new floor, if you have one red heart or less, another one is added","This effect works while moving up floors in the backwards path","This item has no effect for characters with non-red health i.e. ???, Keeper and The Forgotten","","","Type: Passive","Item Pool: Item Room, Demon Beggar","","Unlock this item by defeating The Beast as Samson"
"Astral Projection","ItemID: 677","""The true out-of-body experience!""","Quality: 2","The first time you take damage in a room, Isaac will become a ghost and time will stop for 3 seconds","During this ghost effect, you gain flight, spectral tears and the damage from the next hit you take is negated","Isaac returns to his body if you either clear the room or take damage while in ghost form","Only happens once per room - taking damage a second time does not turn you into a ghost again","","Type: Passive","Item Pool: Item Room, Secret Room","","Unlock this item by defeating The Beast as Lazarus"
"C Section","ItemID: 678","""Fetus shots""","Quality: 4","Your tears are replaced with a charge attack that fires a homing, spectral fetus","The fetus tears deal damage equal to 75% of your current tear damage while in contact with enemies, roughly 5 times per second","Can't be held down like normal charge attacks, they will release automatically at full charge","","","Type: Passive","Item Pool: Item Room, Ultra Secret Room","","Unlock this item by defeating The Beast as Lilith"
"Lil Abaddon","ItemID: 679","""Abyssal friend""","Quality: 2","Gives you a familiar that can be charged up to release a black ring, that damages any enemies that touch it with rapid hits (similar to Maw of the Void / Athame effects)","The effect does a decent amount of damage, but doesn't scale with your damage upgrades","Counts as 1 of 3 familiar items needed towards the Conjoined transformation.","","","Type: Passive, Familiar","Item Pool: Devil Room","","Unlock this item by defeating The Beast as Azazel"
"Montezuma's Revenge","ItemID: 680","""Oh no...""","Quality: 2","While firing tears, you now charge up a poop attack for 3 seconds that when released, fires from Isaac's behind","The poop attack deals your current tear damage to any enemies caught in the blast","Counts as 1 of 3 poop items needed towards the Oh Crap transformation","","","Type: Passive","Item Pool: Item Room","","Unlock this item by defeating The Beast as ???"
"Lil Portal","ItemID: 681","""It hungers""","Quality: 1","Gives Isaac a little portal familiar, that moves across the screen as you're firing","The portal will suck up any consumables and trinkets it travels over, causing it to become larger and deal more contact damage","When the portal sucks up 4 pickups, it turns into a portal that can be used to teleport to unexplored rooms around the floor. It can take you to rooms that require bombs/keys, e.g. the Secret Room or the Shop","Every time the portal sucks up an item, it spawns a blue attack fly for you","Once every room has been explored, the portal does nothing","Type: Passive, Familiar","Item Pool: Item Room","","Unlock this item by defeating Mother as Apollyon"
"Worm Friend","ItemID: 682","""Clingy buddy""","Quality: 3","You gain a familiar that lives under the floor. Every so often it will come up and attempt to grab onto a random enemy in the room, holding them in place and dealing damage","The Worm Friend deals 4 damage for 8 ticks total","If the enemy moves quickly enough it can miss its attack","","","Type: Passive, Familiar","Item Pool: Item Room","","Unlock this item by defeating The Beast as Apollyon"
"Bone Spurs","ItemID: 683","""Break your enemies""","Quality: 2","Enemies that die will leave behind 1-2 floating bone shards where they die, until you leave the room","Other enemies that touch the bone shards will take 3.5 damage, with a chance to either bounce off them or cause it to break and disappear","","","","Type: Passive","Item Pool: Item Room","","Unlock this item by defeating Mother as The Forgotten"
"Hungry Soul","ItemID: 684","""Out for blood""","Quality: 2","Each time an enemy dies, a friendly red soul appears. It will hunt down other enemies, dealing contact damage which scales with your tear damage","After 5 seconds the red soul explodes (Isaac doesn't take damage from this effect)","","","","Type: Passive","Item Pool: Devil Room","","Unlock this item by defeating The Beast as The Lost"
"Jar of Wisps","ItemID: 685","""Your faith grows""","Quality: 2","When used, gives you number of blue flame orbitals based on the number shown over this item","It starts at 1, and increments each activation, giving you more familiars each time you use it","The flames fire tears at the same time Isaac does, that deal a flat 3 damage","If a flame touches an enemy, it deals contact damage equal to double your current tear damage and then disappears","You can have a maximum of 24 flame orbitals at once","Type: Active","Recharge Time: 12 rooms","Item Pool: Angel Room","Unlock this item by defeating The Beast as Bethany"
"Soul Locket","ItemID: 686","""Power of faith""","Quality: 1","Spawns 1 soul heart on the floor","Soul hearts give you small permanent stat increases when picked up","Possible stats include +0.3 Range Up, +0.2 Luck Up, +0.2 Damage Up, +0.1 Tears Up, +0.04 Speed Up","","","Type: Passive","Item Pool: Angel Room","","Unlock this item by defeating Greed Mode as Bethany"
"Friend Finder","ItemID: 687","""Best friends forever!""","Quality: 3","Spawns a random charmed enemy which fights by your side and copies your exact movements, similar to how Jacob & Esau work","The familiars fire tears at the same time as Isaac, and have a visible health bar showing how much damage they can take before dying","","","","Type: Active","Recharge Time: 4 rooms","Item Pool: Item Room, Crane Game","Unlock this item by defeating The Beast as Jacob & Esau"
"Inner Child","ItemID: 688","""Let him free""","Quality: 2","Gives you an extra life","You respawn as a tiny version of Isaac, with a greatly reduced hitbox and +0.2 Speed Up","When the effect activates you deal 35 damage to nearby enemies","Once unlocked, if you have already unlocked the tainted version of the character you're playing as, Inner Child is guaranteed to spawn in the hidden closet on the Home floor","","Type: Passive","Item Pool: Secret Room","","Unlock this item by defeating Greed Mode as Jacob & Esau"
"Glitched Crown","ItemID: 689","""?????""","Quality: 4","Item pedestals now cycle between 5 random items","","","","","Type: Passive","Item Pool: Secret Room","","Unlock this item by defeating The Beast as Tainted Isaac"
"Belly Jelly","ItemID: 690","""Bounce away!""","Quality: 3","Enemies that touch Isaac will now bounce off him and fly off in the opposite direction","Bounced enemies will take 10 damage if they slam into the wall","This item also gives a random chance for enemy shots to bounce off you without taking damage","","","Type: Passive","Item Pool: Item Room","","Unlock this item by defeating The Beast as Tainted Magdalene"
"Sacred Orb","ItemID: 691","""Destined for greatness""","Quality: 4","Increases the quality of generated items","Rerolls items with a quality of 0 or 1","33% chance to reroll items with a quality of 2","Quality is a hidden mechanic in Repetance for all items and ranges from 0-4. Certain items consider Quality for picking what item to spawn, allowing better items to spawn under certain conditions","Counts as 1 of 3 angel items needed towards the Seraphim transformation.","Type: Passive","Item Pool: Angel Room, Secret Room","","Unlock this item by defeating The Beast as Tainted Lost"
"Sanguine Bond","ItemID: 692","""He awaits your offering""","Quality: 1","Spawns a special set of spikes in the Devil Room","Taking damage from the spikes has a chance to spawn a reward","Nothing - 37.5% chance","6 Pennies - 17% chance","+0.5 Damage Up - 27.5% chance","Type: Passive","Item Pool: Devil Room, Curse Room","","Unlock this item by defeating The Beast as Tainted Judas"
"The Swarm","ItemID: 693","""Infest""","Quality: 2","When picked up, this gives you 9 orbital flies","Each time a fly blocks an enemy shot, it will turn into a blue fly and attack nearby enemies, leaving you with one less orbital","Every room clear gives you +1 orbital fly, up to a maximum of 9","Counts as 1 of 3 fly items needed towards the Beelzebub transformation.","","Type: Passive","Item Pool: Item Room, Key Beggar","","Unlock this item by defeating The Beast as Tainted Blue Baby"
"Heartbreak","ItemID: 694","""Eternal sorrow""","Quality: 3","Gives you +0.25 Damage Up for every broken heart you have","Gives 3 broken hearts when picked up","Every hit of damage that would kill you, instead adds 2 more broken hearts and deal 40 damage to all enemies in the room","Heartbreak cannot kill you on pickup","Broken hearts are empty heart containers that cannot be removed or refilled and will override other types of hearts when you reach 12 total. Replacing all 12 containers with broken hearts will kill you instantly. The only way to remove broken hearts is by donating to a Confessional Machine","Type: Passive","Item Pool: Devil Room, Curse Room","","Unlock this item by defeating The Beast as Tainted Eve"
"Bloody Gust","ItemID: 695","""May your rage bring haste""","Quality: 2","Every time you take damage, you gain a Speed Up and a Tears Up","The stat increases start small, and scale up each time you take damage (+0.25 Tears Up for the first hit, +0.75 Tears Up for the 6th hit)","The effect maxes out at +3 Tears Up and +1 Speed Up after taking damage 6 times. This brings you to the maximum possible speed","The effect lasts for the rest of the current floor","","Type: Passive","Item Pool: Item Room, Devil Room","","Unlock this item by defeating Mother as Samson"
