"item-title","r-itemid","pickup","quality","textbox","textbox 2","textbox 3","textbox 4","textbox 5","textbox 6","r-unlock","textbox 12"
"Mr. Mega","ItemID: 106","""Blast damage""","Quality: 2","+5 Bombs","Type: Passive","Item Pool: Item Room, Bomb Beggar, Super Wrath Miniboss","Bombs now do 185 damage (up from 100) and have a larger blast radius","Can be found in the secret room","Has a chance to drop from the Super Wrath miniboss fight","Unlock this item by destroying 10 tinted rocks",""
"Pinking Shears","ItemID: 107","""Cut and run""","Quality: 2","Cuts Isaac's head from his body for the current room, allowing him to fly and leaving the decapitated body to run around attacking enemies for 5.5 damage per tick","Type: Active","Recharge Time: 4 rooms","","","","","Item Pool: Item Room"
"The Wafer","ItemID: 108","""Damage resistance""","Quality: 4","All damage taken is reduced to half a heart","Type: Passive","Item Pool: Item Room, Angel Room","Damaged reduction is reduced from every source in the game except Devil Deals and health down pills","Does not prevent death (i.e. Suicide King or using The Bible on Isaac, ??? or Satan)","The Wafer becomes most effective in the Womb and beyond where enemies all deal a whole heart of damage","",""
"Money = Power","ItemID: 109","""$$$ = DMG""","Quality: 3","+0.04 Damage Up for every coin you currently have","Type: Passive","Item Pool: Item Room, Devil Room","At 99 coins this item gives +3.96 Damage Up","+0.04 per coin is the amount added before the damage formula is calculated, as this is the only way to show a consistent amount of damage given. You may see more or less than this on the Found HUD overlay, however this number varies based on your other damage increasing items","","",""
"Mom's Contacts","ItemID: 110","""Freeze effect""","Quality: 3","Tears now have a random chance to freeze enemies in place","Type: Passive","Item Pool: Item Room, Challenge Room, Mom's Chest","The chance to freeze enemies is affected by your luck stat","+0.38 Range Up","Chance to activate increases with luck, up to around 50% chance at +20 luck","Unlock this item by collecting 3 'Mom' items in one playthrough",""
"The Bean","ItemID: 111","""Toot on command""","Quality: 0","Upon use, this item causes Isaac to fart and poison any enemies in close proximity","Type: Active","Recharge Time: 1 room","The Bean deals 5 damage, then poisons enemies for 6 total ticks of damage","The poison deals your current tear damage per tick","","","Item Pool: Item Room, Beggar"
"Guardian Angel","ItemID: 112","""Extra protection""","Quality: 2","An orbital which does 7 contact damage per tick, blocks shots and increases the speed of all other orbitals","Type: Passive, Orbital","Item Pool: Angel Room","Counts as 1 of 3 angel items needed towards the Seraphim transformation","Counts as 1 of 3 familiar items needed towards the Conjoined transformation.","","Unlock this item by beating Satan with Maggy",""
"Demon Baby","ItemID: 113","""Auto-turret friend""","Quality: 2","A familiar which follows Isaac and automatically fires tears that deal 3 damage each at any enemies in close range","Type: Passive, Familiar","Item Pool: Item Room, Devil Room","Counts as 1 of 3 familiar items needed towards the Conjoined transformation.","","","Unlock this item by beating the Dark Room with Azazel",""
"Mom's Knife","ItemID: 114","""Stab stab stab""","Quality: 4","Tears are replaced with a knife which can be charged and thrown in a boomerang style action","Type: Passive, Tear Modifier","Item Pool: Item Room, Devil Room, Challenge Room, Mom's Chest","The knife can also do damage without being thrown as a close range melee weapon","When used as a melee weapon, Mom's Knife deals your tear damage * 2 per tick","At the furthest point from Isaac the knife deals your tear damage * 6","Unlock this item by beating Satan with Isaac",""
"Ouija Board","ItemID: 115","""Spectral tears""","Quality: 2","Gives Isaac spectral tears which allows them to travel through objects in the environment (i.e. rocks)","Type: Passive","Item Pool: Item Room, Devil Room","+0.4 Tears Up","","","",""
"9 Volt","ItemID: 116","""Quicker charge""","Quality: 2","Automatically gives you 1 bar of charge after using your spacebar item","Type: Passive","Item Pool: Shop","Fully recharges your current spacebar item when picked up","Any items which are normally a 1 room recharge are now timed instead","","",""
"Dead Bird","ItemID: 117","""Protective buddy""","Quality: 0","When Isaac takes damage, the dead bird will spawn and attack nearby enemies in the current room for 2 damage per tick","Type: Passive, Familiar","Item Pool: Item Room","Eve starts with this item","","","",""
"Brimstone","ItemID: 118","""Blood laser barrage""","Quality: 4","Tears are replaced with the ability to charge and fire a powerful laser that travels in a straight line across the room, dealing a lot of damage (tear damage hits for 9 ticks per laser) to any enemies it comes into contact with","Type: Passive, Tear Modifier","Item Pool: Devil Room","Does not directly affect your Damage stat but hits enemies 9 times per charge","Synergizes very well with a lot of items including Tammy's Head, Tiny Planet, Inner Eye (Triple Shot), Mutant Spider (Quad Shot) and many others","If you somehow manage to get a second Brimstone, the laser becomes massive and deals double damage","",""
"Blood Bag","ItemID: 119","""HP up""","Quality: 2","+1 HP Up","Type: Passive","Item Pool: None (Blood Donation machine only)","+0.3 Speed Up","Heals for 5 full red hearts","Has a chance to drop while playing any Blood Donation machine","Unlock this item by playing the Blood Donation machine 30 times",""
"Odd Mushroom (Thin)","ItemID: 120","""Fire rate up""","Quality: 2","Gives you a high rate of fire in exchange for a damage down","Type: Passive","Item Pool: Item Room, Secret Room","+1.7 Tears Up","+0.3 Speed Up","Damage Down (damage * 0.9 - 0.4)","",""
"Odd Mushroom (Large)","ItemID: 121","""DMG up""","Quality: 2","+1 HP Up","Type: Passive","Item Pool: Item Room, Secret Room","+1.0 Damage Up","+0.38 Range Up","-0.2 Speed Down","",""
"Whore of Babylon","ItemID: 122","""Curse up""","Quality: 2","When you only have half a red heart remaining or less, you enter a curse state which adds +1.5 damage and +0.3 speed","Type: Passive","Item Pool: Devil Room, Demon Beggar","When playing as Eve, this item activates with one FULL heart remaining or less AND also removes her 0.75 damage multiplier, raising it up to 1.0","The effect is permanently active for characters with no red hearts (e.g. Blue Baby, The Lost)","One of Eve's starting items","",""
"Monster Manual","ItemID: 123","""Temporary buddy generator""","Quality: 1","When used, gives a random familiar for the entire floor","Type: Active","Recharge Time: 6 rooms","It can spawn familiars you haven't unlocked yet!","","","","Item Pool: Item Room, Devil Room, Library"
"Dead Sea Scrolls","ItemID: 124","""It's a mystery""","Quality: 1","Upon use, the dead sea scrolls gives a random active item effect","Type: Active","Recharge Time: 2 rooms","An item that can be found in the Angel room","The name of the effect given is displayed when used.","Cannot give the Kamikaze effect","","Item Pool: Item Room, Angel Room"
"Bobby - Bomb","ItemID: 125","""Friends till the end""","Quality: 2","+5 Bombs","Type: Passive","Item Pool: Item Room, Bomb Beggar","All of Isaac's bombs now having a homing effect when placed on the floor","","","",""
"Razor Blade","ItemID: 126","""Feel my pain""","Quality: 0","When used, deals damage to Isaac in exchange for +1.2 damage up which lasts for the current room","Type: Active","Recharge Time: Instant","This item takes 1 full heart of damage per use, and will take red hearts first before any other","Eve starts with this item after donating 439 coins to the Greed Donation Machine","","Unlock this item by beating Satan with Eve","Item Pool: Item Room, Curse Room, Demon Beggar"
"Forget Me Now","ItemID: 127","""I don't remember...""","Quality: 3","Upon use, this item refreshes the current floor with brand new rooms, monsters and items, as if you had entered a new floor","Type: Active","Recharge Time: Instant (One time use)","","","","Unlock this item by beating Satan with Blue Baby","Item Pool: Item Room, Secret Room, Devil Room, Demon Beggar"
"Forever Alone","ItemID: 128","""Attack fly""","Quality: 1","An orbiting fly which deals 2 contact damage per tick to enemies","Type: Passive, Orbital","Item Pool: Item Room","Counts as 1 of 3 fly items needed towards the Beelzebub transformation","","","",""
"Bucket of Lard","ItemID: 129","""HP up""","Quality: 1","+2 Health Up","Type: Passive","Item Pool: Item Room, Super Gluttony Miniboss","-0.2 Speed Down","Has a chance to drop from the Super Gluttony miniboss fight","","",""
"A Pony","ItemID: 130","""Flight + dash attack""","Quality: 2","Allows Isaac to fly while the Pony is held","Type: Active","Recharge Time: 2 rooms","Sets your speed stat to 1.5 if it isn't already that high","When the active attack is used, Isaac will dash across the screen dealing scaling contact damage to anything he hits (damage * 4 + 28)","Drops from the Headless Horseman boss fight","","Item Pool: None (Headless horseman only)"
"Bomb Bag","ItemID: 131","""Gives bombs""","Quality: 2","A bag of bombs that will drop a bomb pickup every 2 rooms","Type: Passive, Familiar","Item Pool: Item Room","","","","Unlock this item by beating Satan with Cain",""
"A Lump of Coal","ItemID: 132","""My Xmas present""","Quality: 3","Tears gain a damage up and increase in size based on the distance they travel","Type: Passive","Item Pool: None (Krampus only)","The length of a normal room roughly gives +6 damage, but this can be higher with double rooms or Tiny Planet","This item synergises with beam items such as Brimstone and Tech, allowing them to do more damage the further away the enemy is","","",""
"Guppy's Paw","ItemID: 133","""Soul converter""","Quality: 3","When used, removes one heart container and gives you 3 soul hearts","Type: Active","Recharge Time: Instant","Bone hearts cannot be converted","Counts as 1 of 3 cat items needed towards the Guppy transformation","","","Item Pool: Devil Room, Curse Room, Red Chest"
"Guppy's Tail","ItemID: 134","""Cursed?""","Quality: 2","Gives a 1/3 chance for room clear rewards to become a normal or locked chest, and a 1/3 chance to reward nothing at all","Type: Passive","Item Pool: Devil Room, Curse Room, Red Chest","Doesn't affect coins dropped after waves in Greed Mode","Counts as 1 of 3 cat items needed towards the Guppy transformation","","",""
"IV Bag","ItemID: 135","""Portable blood bank""","Quality: 1","Upon use, the IV Bag takes half a red heart and spawns 1-3 coins (the same effect as a blood donation machine)","Type: Active","Recharge Time: Instant","Can drop from a blood donation machine after playing it","In the Womb and beyond this deals 1 full heart of damage","If no red hearts exist, other types of hearts are consumed instead","","Item Pool: None (Blood donation machine only)"
"Best Friend","ItemID: 136","""Friends 'till the end""","Quality: 1","Places a decoy on the floor which attracts enemies and explodes after a period of time","Type: Active","Recharge Time: 3 rooms","When it explodes, it deals 185 damage to everything in radius (Same damage as Mr Mega bombs)","","","","Item Pool: Item Room"
"Remote Detonator","ItemID: 137","""Remote bomb detonation""","Quality: 1","+5 Bombs","Type: Active","Recharge Time: Instant","Bombs no longer automatically explode and will only do so when you activate the remote detonator","Can be used to detonate Dr. Fetus bombs early","","","Item Pool: Item Room, Shop, Bomb Beggar"
"Stigmata","ItemID: 138","""DMG + HP up""","Quality: 2","+1 HP Up","Type: Passive","Item Pool: Item Room","+0.3 Damage Up","Heals one red heart container when picked up","","",""
"Mom's Purse","ItemID: 139","""More trinket room""","Quality: 2","Isaac can now hold two trinkets at the same time","Type: Passive","Item Pool: Shop, Mom's Chest","Drops a random trinket on the floor when picked up","Allows you to pick up more trinkets while also holding The Tick","Counts as 1 of 3 mom items needed towards the Mom transformation","",""
"Bob's Curse","ItemID: 140","""Poison bombs""","Quality: 1","+5 Bombs","Type: Passive","Item Pool: Item Room, Super Sloth Miniboss, Bomb Beggar","Isaac's bombs now poison nearby enemies and leave behind a gas cloud that poisons enemies that move through it. Poisoned enemies take 4 or 6 damage per tick for a few seconds","Has a chance to drop from the Super Sloth miniboss fight","Counts as 1 of 3 poison items needed towards the Bob transformation","",""
"Pageant Boy","ItemID: 141","""Ultimate grand supreme""","Quality: 0","Spawns 7 random coins around Isaac on the floor","Type: Passive","Item Pool: Boss Room","Isaac wears a pink crown on his head","","","",""
"Scapular","ItemID: 142","""You have been blessed""","Quality: 2","Once per room when you are damaged down to your final half a heart, you gain 1 soul heart","Type: Passive","Item Pool: Item Room, Angel Room","Re-entering a room allows this effect to be triggered again","Scapular won't grant its soul heart if the player is attempting to proc it with certain heart donation mechanics (such as IV Bag)","Counts as 1 of 3 angel items needed towards the Seraphim transformation.","",""
"Speed Ball","ItemID: 143","""Speed + shot speed up""","Quality: 2","+0.3 Speed Up","Type: Passive","Item Pool: Item Room, Boss Room, Demon Beggar","+0.2 Shot Speed Up","Counts as 1 of 3 syringe items needed towards the Spun transformation","","",""
"Bum Friend","ItemID: 144","""He's Greedy""","Quality: 1","A beggar who follows Isaac around and automatically picks up nearby coins","Type: Passive, Familiar","Item Pool: Item Room","After picking up 6 coins he will drop a random pickup, e.g. hearts, keys, bombs, coins, pills, cards, trinkets, batteries etc","After the first drop, he has a 67% chance to drop a pickup after 3 coins and a 33% chance to drop a pickup after 4 coins","Bum friend also has a chance to spawn items from the Beggar Item Pool","",""
"Guppy's Head","ItemID: 145","""Reusable fly hive""","Quality: 2","When used, spawns between 2-4 blue flies","Type: Active","Recharge Time: 1 room","Blue Flies do double your tear damage","Counts as 1 of 3 cat items needed towards the Guppy transformation","","","Item Pool: Devil Room, Curse Room, Red Chest, Gold/Stone Chest"
"Prayer Card","ItemID: 146","""Reusable eternity""","Quality: 3","Gives Isaac an eternal heart when used","Type: Active","Recharge Time: 6 rooms","Taking an eternal heart to the next floor or collecting two on the same floor gives you an extra heart container","","","","Item Pool: Item Room, Angel Room"
"Notched Axe","ItemID: 147","""Rocks didn't stand a chance""","Quality: 1","When activated, Isaac takes out the axe and gives you the ability to break rocks and damage enemies with it","Type: Active","Recharge Time: At the start of each new floor","It has a limited amount of uses per floor, decreasing with every hit that connects with a rock/enemy","Cannot break the stone blocks which appear in the environment","Creates bridges when breaking rocks next to pits","","Item Pool: Shop, Crane Game"
"Infestation","ItemID: 148","""Fly revenge""","Quality: 0","When Isaac gets hit, 2-6 blue flies will randomly spawn","Type: Passive","Item Pool: Item Room","Blue Flies do double your tear damage","Counts as 1 of 3 fly items needed towards the Beelzebub transformation","","",""
"Ipecac","ItemID: 149","""Explosive shots""","Quality: 4","Isaac's tears are replaced with explosive poison bombs, which will arc upwards and explode on contact with the floor, dealing huge damage and leaving a poison effect on enemies in range","Type: Passive, Tear Modifier","Item Pool: Item Room","Ipecac shots are given a flat +40 Damage on top of the normal 3.5 base damage","Tears Down (Tear delay * 2 + 10)","Ipecac explosion size scales with tear size","Unlock this item by beating Mom's Heart 6 times",""
"Tough Love","ItemID: 150","""Tooth shot""","Quality: 3","Isaac has a random chance to fire a tooth shot instead of a tear sometimes","Type: Passive","Item Pool: Item Room","Teeth shots deal damage equal to your tear damage * 3.2","The chance to fire a tooth is affected by your luck stat and at +9 Luck it will activate every time","Synergizes well with some tear modifiers such as Ipecac, which causes it to do massive damage","",""
"The Mulligan","ItemID: 151","""They grow inside""","Quality: 3","Isaac has a 1/6 chance to spawn a blue fly when one of his tears hits an enemy","Type: Passive","Item Pool: Item Room","Blue Flies do double your tear damage","The chance to activate this effect is not changed with your Luck stat","Counts as 1 of 3 fly items needed towards the Beelzebub transformation","",""
"Technology 2","ItemID: 152","""Laser""","Quality: 2","Isaac now also has a laser with unlimited range which fires continuously, dealing damage 15 times per second","Type: Passive, Tear Modifier","Item Pool: Item Room","Tears continue to fire from your left eye at a rate of 2/3","The laser deals damage equal to 1/7th of your tear damage, but very rapidly","The laser can apply status effects (e.g. Poison) rapidly due to how often it hits","",""
"Mutant Spider","ItemID: 153","""Quad Shot""","Quality: 3","Tears now shoot 4 at a time (Quad Shot)","Type: Passive, Tear Modifier","Item Pool: Item Room","Tears Down significantly (Tear delay * 2.1 + 3)","Synergizes well with a lot of tear effects - e.g. with Brimstone you get 4 lasers","Counts as 1 of 3 spider items needed towards the Spider Baby transformation","",""
"Chemical Peel","ItemID: 154","""DMG up""","Quality: 2","+2 Damage Up for tears fired from Isaac's left eye","Type: Passive","Item Pool: Item Room","If playing as Cain or you have an item which modifies which eye you fire tears from, each shot has a 50% chance to do +2 Damage","","","",""
"The Peeper","ItemID: 155","""Plop!""","Quality: 2","Gives Isaac an eye companion that floats around the room and deals 8 damage per tick on contact with enemies","Type: Passive, Familiar","Item Pool: Item Room","Damage from Isaac's left eye deal roughly +35% damage","","","",""
"Habit","ItemID: 156","""Item martyr""","Quality: 2","When you take damage, this item recharges one room's worth of charge to your spacebar item","Type: Passive","Item Pool: Shop, Angel Room","For example, with the D6 you would need to take damage 6 times to fully recharge it","","","",""
"Bloody Lust","ItemID: 157","""RAGE!""","Quality: 2","Each time you take damage, you gain a damage up which lasts for the rest of the floor and turn a darker red colour each time","Type: Passive","Item Pool: Item Room, Devil Room","After taking 6 hits Bloody Lust doesn't give you any further damage increases","Damage given for each hit increases as follows: +0.5, +0.7, +0.9, +1.1, +1.3, +1.5","Samson starts with this item","Unlock this item by beating the Isaac boss with Samson",""
"Crystal Ball","ItemID: 158","""I see my future""","Quality: 3","Upon use, reveals the map and drops either a soul heart or a random card/rune (50% chance for each)","Type: Active","Recharge Time: 6 rooms","It reveals the location of the secret room, however it doesn't reveal the Super secret room","Has a chance to drop from playing a fortune machine","Counts as 1 of 3 astrology items needed in the same run to unlock Planetariums","","Item Pool: None (Fortune machine only)"
"Spirit of the Night","ItemID: 159","""Scary""","Quality: 3","Gives Isaac the ability to fly and spectral tears","Type: Passive","Item Pool: Devil Room, Demon Beggar","Counts as 1 of 3 evil items needed towards the Leviathan transformation","","","",""
"Crack The Sky","ItemID: 160","""Holy white death""","Quality: 2","Creates 5 beams of light from the sky that deal damage equal to your tear damage + 20 to any enemies which come into contact with them","Type: Active","Recharge Time: 4 rooms","The beams have a high chance to spawn on top of enemies where possible","","","","Item Pool: Item Room"
"Ankh","ItemID: 161","""Eternal life?""","Quality: 1","Upon death, you respawn in the previous room as Blue Baby with three Soul hearts","Type: Passive","Item Pool: Item Room","This is a one time use item and all new heart containers will be soul hearts","Can be used to unlock some of Blue Baby's secrets before having the character available","","",""
"Celtic Cross","ItemID: 162","""You feel blessed""","Quality: 1","Upon taking damage, you have a 20% chance to gain an invulnerability shield for 7 seconds","Type: Passive","Item Pool: Item Room, Angel Room","The chance to gain a shield is affected by your luck stat and at +27 Luck it will activate every time","Counts as 1 of 3 angel items needed towards the Seraphim transformation.","","Unlock this item by beating the Chest with Maggy",""
"Ghost Baby","ItemID: 163","""Spectral buddy""","Quality: 1","A familiar which follows Isaac and shoots spectral tears that deal 3.5 damage","Type: Passive, Familiar","Item Pool: Item Room, Devil Room","Ghost Baby fires tears at a rate of 1 tear per second","Can drop while destroying skulls in the Depths and Necropolis floors","Counts as 1 of 3 familiar items needed towards the Conjoined transformation.","",""
"The Candle","ItemID: 164","""Reusable flame""","Quality: 2","A spacebar item which allows Isaac to fire a blue flame that damages anything in its path for 23 damage per tick","Type: Active","Recharge Time: Timed (A few seconds)","Can cause up to a total of 276 potential damage","The flame destroys enemy shots, making it useful for bullet hell bosses","","Unlock this item by donating 900 coins to the Shop","Item Pool: Shop"
"Cat-O-Nine-Tails","ItemID: 165","""Shot speed up + DMG up""","Quality: 3","+1.0 Damage Up","Type: Passive","Item Pool: Boss Room","+0.23 Shot Speed Up","An item only found in the Boss room pool","","",""
"D20","ItemID: 166","""Reroll the basics""","Quality: 2","Upon use, re-rolls all pickup consumables in the current room into another random kind of pickup","Type: Active","Recharge Time: 6 rooms","This includes all types of pickup such as hearts, bombs, keys, coins, pills, tarot cards, chests, trinkets etc","","","Unlock this item by beating the Chest with Isaac","Item Pool: Item Room"
"Harlequin Baby","ItemID: 167","""Double shot buddy""","Quality: 1","A familiar which follows Isaac and shoots two normal tears at once in a V-shaped pattern","Type: Passive, Familiar","Item Pool: Item Room","Each of Harlequin Baby's tears deal 4 damage","Harlequin Baby fires tears at a rate of 1 tear per second","Counts as 1 of 3 familiar items needed towards the Conjoined transformation","",""
"Epic Fetus","ItemID: 168","""On-demand air strike""","Quality: 4","Tears now become missiles which deal huge damage to anything nearby","Type: Passive, Tear Modifier","Item Pool: Secret Room","Missiles damage = damage * 20","This item places a controllable red target on the ground which will cause a missile to fall from the sky and hit it after a short period of time","","Unlock this item by beating Challenge #19 (The Family Man)",""
"Polyphemus","ItemID: 169","""Mega tears""","Quality: 4","High Damage Up - (damage + 4) * 2","Type: Passive","Item Pool: Item Room","Tears Down significantly (Tear delay * 2.1 + 3)","If a tear kills an enemy, it continues to travel forward with the leftover damage","","",""
"Daddy Longlegs","ItemID: 170","""Daddy's love""","Quality: 3","A shadow follows Isaac and stomps on enemies randomly, dealing 40 damage per stomp (2 damage ticks at 20 damage each)","Type: Passive, Familiar","Item Pool: Item Room","Counts as 1 of 3 spider items needed towards the Spider Baby transformation.","","","",""
"Spider Butt","ItemID: 171","""Mass enemy slowdown + damage""","Quality: 1","Upon use, does 10 damage to all enemies in the room and gives them a slowing effect for 4 seconds","Type: Active","Recharge Time: 2 rooms","Enemies killed by Spider Butt will spawn friendly blue spiders","Counts as 1 of 3 spider items needed towards the Spider Baby transformation","","","Item Pool: Item Room"
"Sacrificial Dagger","ItemID: 172","""My fate protects me""","Quality: 2","Gives Isaac an orbital knife that blocks shots and deals 15 damage per tick on contact with enemies","Type: Passive, Orbital","Item Pool: Item Room, Devil Room","The highest damage orbital in the game, dealing 225 damage per second","Synergises very well with invulnerability items such as Book of Shadows","","Unlock this item by beating the Chest with Eve",""
"Mitre","ItemID: 173","""You feel blessed""","Quality: 3","Gives a 33% chance of converting red heart drops into soul hearts","Type: Passive","Item Pool: Item Room, Angel Room","Counts as 1 of 3 angel items needed towards the Seraphim transformation","","","",""
"Rainbow Baby","ItemID: 174","""Random buddy""","Quality: 1","A familiar the follows Isaac and fires random tears","Type: Passive, Familiar","Item Pool: Item Room","Rainbow Baby's tears can choose from any of the other familiars, such as homing, spectral, tar shots etc","Counts as 1 of 3 familiar items needed towards the Conjoined transformation.","","",""
"Dad's Key","ItemID: 175","""Opens all doors...""","Quality: 2","Upon use, opens all closed doors in the current room, including the ones which require a key to enter and secret room doors","Type: Active","Recharge Time: 2 rooms","Can be used to open the golden door that appears in the Dark Room or the Chest","Cannot be used to escape the Mom's Foot boss, open angel/devil rooms, or open the door to the Blue Womb floor","","Unlock this item by collecting both Key Pieces #1 & #2 for the first time","Item Pool: Item Room, Key Beggar"
"Stem Cells","ItemID: 176","""HP up""","Quality: 1","+1 HP Up","Type: Passive","Item Pool: Item Room, Boss Room","+0.16 Shot Speed Up","Heals one red heart container when picked up","","",""
"Portable Slot","ItemID: 177","""Gamble 24/7""","Quality: 0","Using the portable slot takes a coin and has a chance to give a pickup - similar to how the normal slot machines work","Type: Active","Recharge Time: Instant","","","","","Item Pool: Shop, Beggar"
"Holy Water","ItemID: 178","""Splash!""","Quality: 3","Spawns a familiar that follows Isaac and launches itself in the direction Isaac shoots","Type: Passive, Familiar","Item Pool: Item Room, Angel Room","Upon hitting an enemy, it will deal 7 damage and shatter, creating a pool of damaging blue creep that also petrifies enemies that touch it","Once the pool disappears, the familiar will respawn and can be thrown again","","",""
"Fate","ItemID: 179","""Flight eternal""","Quality: 3","Gives Isaac an eternal heart and the ability to fly","Type: Passive","Item Pool: Gold Chest","Taking an eternal heart to the next floor or collecting two on the same floor gives you an extra heart container","","","Unlock this item by beating the Chest with Blue Baby",""
"The Black Bean","ItemID: 180","""Toot on touch""","Quality: 0","Upon taking damage, Isaac will fart, causing all enemies in close proximity to become poisoned","Type: Passive","Item Pool: Item Room, Beggar","Black Bean deals your tear damage for 6 ticks","","","",""
"White Pony","ItemID: 181","""Flight + holy death""","Quality: 2","Allows Isaac to fly while the White Pony is held","Type: Active","Recharge Time: 2 rooms","While held, sets your speed stat to 1.5 if it isn't already that high. If your speed stat is already higher then that value is still used","Upon use, Isaac charges in the direction the pony is facing, becoming invulnerable during the charge and damaging enemies","While charging, Isaac spawns a trail of light beams that deal a lot of damage to enemies (damage * 4 + 10)","","Item Pool: None (Conquest boss only)"
"Sacred Heart","ItemID: 182","""Homing shots + DMG up""","Quality: 4","Tears are now white, do a lot more damage and move slower across the screen with a homing effect","Type: Passive, Tear Modifier","Item Pool: Angel Room","Health Up","Damage Up (damage * 2.3 + 1)","-0.4 Tears Down","",""
"Toothpicks","ItemID: 183","""Tears + shot speed up""","Quality: 3","+0.7 Tears Up","Type: Passive","Item Pool: Boss Room","+0.16 Shot Speed Up","Does not increase your damage, simply makes your tears red","","",""
"Holy Grail","ItemID: 184","""Flight + HP up""","Quality: 3","+1 HP Up","Type: Passive","Item Pool: Angel Room","Gives Isaac the ability to fly","Heals one red heart container when picked up","Counts as 1 of 3 angel items needed towards the Seraphim transformation","",""
"Dead Dove","ItemID: 185","""Flight + spectral tears""","Quality: 3","Gives Isaac the ability to fly and spectral tears","Type: Passive","Item Pool: Angel Room","An item only found in the Angel room","Counts as 1 of 3 angel items needed towards the Seraphim transformation","","",""
"Blood Rights","ItemID: 186","""Mass enemy damage at a cost""","Quality: 0","Upon use, takes away one full heart and deals 40 damage to the entire room","Type: Active","Recharge Time: Instant","Shields and invincibility effects do not prevent damage when using this item","Using with Isaac's Heart previously prevented you from taking damage, however in Repentance this was fixed","Using this item as The Lost will instantly kill him, even if you have Holy Mantle active","Unlock this item by beating Satan with Samson","Item Pool: Item Room, Devil Room"
"Guppy's Hairball","ItemID: 187","""Swing it""","Quality: 1","Follows behind Isaac and can be swung back and forth, dealing 5 contact damage per tick to anything it hits","Type: Passive, Familiar","Item Pool: Devil Room","Every time the hairball kills an enemy, it grows in size allowing it to deal more damage","This is one of the items which allows you to transform into Guppy","Moving to a new floor decreases the size of the hairball","",""
"Abel","ItemID: 188","""Mirrored buddy""","Quality: 0","A familiar that mirrors the player's movements and shoots tears directly at Isaac","Type: Passive, Familiar","Item Pool: Item Room","Abel's tears do 3.5 damage, unless playing as Cain in which case they do 5","Counts as 1 of 3 familiar items needed towards the Conjoined transformation.","","Unlock this item by beating the Dark Room with Cain",""
"SMB Super Fan","ItemID: 189","""All stats up""","Quality: 3","Isaac turns red like Meatboy","Type: Passive","Item Pool: Item Room","+1 HP Up","+0.3 Damage Up","+0.2 Tears Up","Unlock this item by beating Challenge #14 (It's in the Cards)",""
"Pyro","ItemID: 190","""99 bombs""","Quality: 3","Gives Isaac 99 bombs","Type: Passive","Item Pool: Item Room, Secret Room, Bomb Beggar","","","","",""
"3 Dollar Bill","ItemID: 191","""Rainbow tears""","Quality: 3","Grants Isaac random tear effects","Type: Passive, Tear Modifier","Item Pool: Item Room","Can pick from a list of 39 item effects, including 8 Inch Nails, 20/20, Apple!, Ball of Tar, Continuum, Cricket's Body, Dark Matter, Dead Eye, Death's Touch, Euthanasia, Explosivo, Eye of Belial, Fire Mind, Holy Light, Iron Bar, Little Horn, Lost Contact, Mom's Contacts, Mom's Eyeshadow, Mom's Perfume, Mutant Spider, My Reflection, Mysterious Liquid, Number One, Ouija Board, Parasitoid, Proptosis, Pupula Duplex, Rubber Cement, Sagittarius, Scorpio, Sinus Infection, Speed Ball, Spoon Bender, The Inner Eye, The Parasite, The Sad Onion, The Wiz and Tough Love","The tear type changes every 2-3 seconds","","",""
"Telepathy for Dummies","ItemID: 192","""Temporary psychic shot""","Quality: 1","When used, Isaac gains homing shots and +3.0 Range Up for the current room","Type: Active","Recharge Time: 2 rooms","Counts as 1 of 3 book items needed towards the Bookworm transormation","","","","Item Pool: Item Room, Library"
"MEAT!","ItemID: 193","""DMG + HP up""","Quality: 2","+1 HP Up","Type: Passive","Item Pool: Boss Room","+0.3 Damage Up","Heals one red heart container when picked up","","",""
"Magic 8 Ball","ItemID: 194","""Shot speed up""","Quality: 1","+0.16 Shot Speed Up","Type: Passive","Item Pool: Boss Room, Gold/Stone Chest","Gives Isaac a random tarot card when picked up","+15% chance for Planetariums to spawn","Counts as 1 of 3 astrology items needed in the same run to unlock Planetariums","",""
"Mom's Coin Purse","ItemID: 195","""What's all this...?""","Quality: 1","Drops 4 random pills on the floor around Isaac","Type: Passive","Item Pool: Shop, Boss Room, Challenge Room, Beggar, Demon Beggar, Mom's Chest","Counts as 1 of 3 mom items needed towards the Mom transformation","","","",""
"Squeezy","ItemID: 196","""Tears up""","Quality: 3","+2 Soul Hearts","Type: Passive","Item Pool: Boss Room, Gold/Stone Chest","+0.4 Tears Up","","","",""
"Jesus Juice","ItemID: 197","""Damage + range up""","Quality: 2","+0.5 Damage Up","Type: Passive","Item Pool: Boss Room, Angel Room","+0.38 Range Up","","","",""
"Box","ItemID: 198","""Stuff""","Quality: 0","When picked up, spawns 1 red heart, 1 key, 1 bomb, 1 coin, 1 card/rune, 1 pill and 1 trinket","Type: Passive","Item Pool: Boss Room, Challenge Room","","","","",""
"Mom's Key","ItemID: 199","""Better chest loot +2 keys""","Quality: 3","+2 Keys","Type: Passive","Item Pool: Shop, Challenge Room, Key Beggar, Mom's Chest","Doubles the yield of hearts, coins, bombs and keys that spawn from non-red chests","Counts as 1 of 3 mom items needed towards the Mom transformation","","",""
